candidate_id,candidate_name,job_role,education,experience_years,resume_skills
1000,Logan Prabhu,Data Analyst,B.Tech,5,"linux, excel, sql, numpy"
1001,Vrinda Bandi,Data Analyst,MCA,3,"numpy, power bi, sql, data analysis"
1002,Kabir Dua,Software Engineer,B.Sc,10,"aws, git"
1003,Omya Pillay,AI Engineer,MCA,4,"aws, communication, python, machine learning"
1004,Radhika Srinivasan,Data Analyst,B.Tech,9,"python, numpy"
1005,Matthew Butala,Data Analyst,B.Tech,2,"git, excel, data analysis"
1006,Aishani Som,Web Developer,MCA,7,"aws, linux, communication, css, javascript"
1007,Michael Sandhu,AI Engineer,B.Sc,2,"c++, linux, react"
1008,Vyanjana Hora,Software Engineer,B.Sc,0,"aws, tableau, java"
1009,Abeer Mishra,Web Developer,B.Sc,5,"html, react"
1010,Ekaja Doshi,AI Engineer,MCA,4,"aws, c++, machine learning, react"
1011,Theodore Lata,Web Developer,B.Tech,10,"html, git, tableau, css"
1012,Bimala Bhavsar,AI Engineer,M.Tech,8,"communication, python, git, django"
1013,Rehaan Chakrabarti,AI Engineer,B.Tech,0,"aws, tableau, communication, c++, excel"
1014,Dev Johal,System Administrator,M.Tech,7,"aws, linux, git, numpy, python"
1015,Udarsh Wali,Data Scientist,B.Sc,2,"numpy, machine learning"
1016,Sanaya Dayal,Data Analyst,B.Sc,10,"python, excel, react"
1017,Advika Choudhary,AI Engineer,M.Tech,2,"c++, linux, tableau, pandas"
1018,Simon Bawa,Web Developer,M.Tech,4,"html, numpy, excel, css"
1019,Vansha Morar,AI Engineer,MCA,6,"aws, communication, machine learning"
1020,Abhiram Sur,Web Developer,B.Sc,8,"html, linux, javascript, tableau"
1021,Vasana Amble,Data Scientist,MCA,6,"python, react, numpy"
1022,Logan Sangha,Software Engineer,B.Sc,4,"aws, excel"
1023,Arunima Jaggi,Software Engineer,MCA,3,"c++, linux, java, numpy"
1024,Balhaar Sastry,Web Developer,B.Tech,10,"javascript, pandas, css"
1025,Rohan Ramakrishnan,Data Analyst,B.Tech,1,"python, excel, pandas"
1026,Upasna Radhakrishnan,AI Engineer,B.Sc,0,"tableau, machine learning, c++, power bi, python"
1027,Udarsh Chandra,Software Engineer,M.Tech,2,"communication, linux, pandas"
1028,Maanav Raghavan,Web Developer,MCA,0,"html, javascript, react"
1029,Ranbir Toor,AI Engineer,M.Tech,9,"python, django"
1030,Timothy Sanghvi,Data Scientist,B.Tech,10,"git, machine learning, excel, python, pandas"
1031,Garima Kadakia,AI Engineer,B.Sc,4,"c++, linux, django, pandas"
1032,Akshay Jha,Data Scientist,M.Tech,5,"python, tableau"
1033,Jacob Taneja,Data Scientist,B.Sc,2,"tableau, data analysis, machine learning, communication, python"
1034,Varenya Thakkar,Web Developer,B.Tech,9,"html, tableau, react"
1035,Yashvi Raghavan,Data Analyst,MCA,4,"linux, django, excel"
1036,Frederick Mitra,Web Developer,B.Sc,8,"html, communication, numpy, excel, css"
1037,Vrinda Saini,Software Engineer,B.Tech,9,"aws, django, java, pandas"
1038,Balvan Doshi,AI Engineer,B.Sc,2,"aws, c++, power bi, react"
1039,Gabriel Chauhan,Data Scientist,B.Tech,3,"linux, tableau, machine learning, react, python"
1040,Netra Jayaraman,Software Engineer,MCA,10,"linux, java, git, c++, power bi, pandas"
1041,Gaurang Varty,System Administrator,B.Sc,3,"aws, communication, python"
1042,Ranveer Narayanan,System Administrator,B.Tech,10,"linux, django"
1043,Lakshmi Sengupta,System Administrator,B.Tech,0,"aws, python, tableau"
1044,Tanmayi Zacharia,Data Scientist,M.Tech,1,"linux, tableau, data analysis, excel, python, sql"
1045,Raagini Cherian,System Administrator,B.Sc,10,"aws, communication, linux, react"
1046,Zaitra Kadakia,Software Engineer,B.Sc,9,"aws, c++, java"
1047,Dayita Srivastava,Data Analyst,M.Tech,2,"communication, aws, python, excel"
1048,Hritik Dhar,Data Scientist,MCA,8,"python, sql, pandas"
1049,Advaith Prabhakar,AI Engineer,B.Sc,0,"aws, git, excel"
1050,Eesha Subramaniam,Web Developer,MCA,0,"javascript, react, tableau"
1051,Ayaan Arya,Web Developer,M.Tech,1,"linux, react, css"
1052,Avni Menon,AI Engineer,B.Tech,1,"linux, tableau, machine learning, c++, power bi, python"
1053,Charan Walia,System Administrator,MCA,5,"python, linux"
1054,Mugdha Kadakia,Web Developer,B.Sc,4,"html, javascript, tableau"
1055,Aradhana Yadav,System Administrator,MCA,0,"aws, python, react, numpy"
1056,Jason Wason,Software Engineer,MCA,1,"aws, linux, java, c++, excel, pandas"
1057,Oeshi Banik,Web Developer,M.Tech,9,"linux, react, excel, css, javascript"
1058,Pushti Kade,Data Analyst,MCA,3,"python, excel, data analysis, tableau"
1059,Januja Kibe,Web Developer,B.Sc,5,"javascript, react, pandas"
1060,Aryan Ray,Web Developer,B.Sc,6,"git, html, linux, django"
1061,Saumya Muni,Web Developer,B.Tech,5,"tableau, css"
1062,Libni Jayaraman,Web Developer,B.Sc,0,"tableau, css"
1063,Eiravati Ray,Software Engineer,MCA,2,"communication, linux, java"
1064,Dayamai Chaudry,Software Engineer,B.Sc,10,"communication, linux, django"
1065,Dalbir Ahluwalia,AI Engineer,M.Tech,4,"aws, communication, c++, django, python"
1066,Vivaan Reddy,Web Developer,MCA,1,"excel, css"
1067,Garima Ghose,Software Engineer,B.Tech,6,"excel, c++, tableau, java"
1068,Tripti Swaminathan,Software Engineer,B.Sc,10,"communication, git, java"
1069,Hardik Gulati,AI Engineer,B.Tech,4,"linux, numpy, machine learning, tableau"
1070,Tripti Subramaniam,Web Developer,B.Tech,4,"aws, html"
1071,Meghana Saraf,AI Engineer,MCA,0,"aws, tableau, machine learning, numpy, power bi, python"
1072,Pranit Reddy,Data Scientist,B.Sc,0,"tableau, data analysis, git, machine learning, pandas, sql"
1073,Liam Goda,Web Developer,B.Tech,5,"aws, html, communication"
1074,Riya Kara,Data Scientist,B.Sc,5,"python, tableau, sql, data analysis"
1075,Chaman Choudhry,System Administrator,B.Tech,6,"python, power bi, numpy"
1076,Timothy Suresh,System Administrator,B.Sc,5,"aws, python"
1077,Peter Setty,Data Analyst,MCA,10,"linux, git, excel, data analysis"
1078,Faraj Subramanian,Web Developer,M.Tech,9,"javascript, power bi, css"
1079,Warhi Loyal,Data Analyst,M.Tech,2,"power bi, excel, sql, data analysis"
1080,Warhi Shenoy,System Administrator,MCA,6,"aws, python, git"
1081,Vrishti Sidhu,Web Developer,B.Tech,8,"power bi, django, excel, css"
1082,Faqid Chaudhari,Software Engineer,M.Tech,6,"aws, java, react, c++, django, pandas"
1083,Upkaar Borra,Web Developer,M.Tech,3,"tableau, git, communication, css, javascript"
1084,Joshua Batra,Data Analyst,B.Tech,8,"python, tableau, sql, pandas"
1085,Lakshmi Nayar,Data Scientist,MCA,4,"git, numpy, machine learning, power bi"
1086,Laksh Buch,Data Analyst,M.Tech,6,"data analysis, react, django, python, pandas"
1087,Balendra Kohli,System Administrator,B.Tech,10,"linux, python, tableau"
1088,Mugdha Hari,Data Analyst,MCA,5,"tableau, data analysis, communication, django, excel, python"
1089,Nathan Thakkar,Data Scientist,MCA,0,"python, excel, sql, pandas"
1090,Omaja Hora,Web Developer,B.Sc,5,"communication, excel, css"
1091,Ekalinga Swaminathan,AI Engineer,B.Sc,7,"python, git, react, pandas"
